year,name,country,time
2022,Evans Chebet,Kenya,2:06:51
2021,Benson Kipruto,Kenya,2:09:51
2019,Lawrence Cherono,Kenya,2:07:57
2018,Yuki Kawauchi,Japan,2:15:58
2017,Geoffrey Kirui,Kenya,2:09:37
2016,Lemi Berhanu,Ethiopia,2:12:45
2015,Lelisa Desisa,Ethiopia,2:09:17
2014,"Mebrahtom ""Meb"" Keflezighi",United States,2:08:37
2013,Lelisa Desisa,Ethiopia,2:10:22
2012,Wesley Korir,Kenya,2:12:40
2011,Geoffrey Mutai,Kenya,2:03:02
2010,Robert Kiprono Cheruiyot,Kenya,2:05:52
2009,Deriba Merga,Ethiopia,2:08:42
2008,Robert Kipkoech Cheruiyot,Kenya,2:07:46
2007,Robert Kipkoech Cheruiyot,Kenya,2:14:13
2006,Robert Kipkoech Cheruiyot,Kenya,2:07:14
2005,Hailu Negussie,Ethiopia,2:11:45
2004,Timothy Cherigat,Kenya,2:10:37
2003,Robert Kipkoech Cheruiyot,Kenya,2:10:11
2002,Rodgers Rop,Kenya,2:09:02
2001,Lee Bong-Ju,South Korea,2:09:43
2000,Elijah Lagat,Kenya,2:09:47
1999,Joseph Chebet,Kenya,2:09:52
1998,Moses Tanui,Kenya,2:07:34
1997,Lameck Aguta,Kenya,2:10:34
1996,Moses Tanui,Kenya,2:09:15
1995,Cosmas Ndeti,Kenya,2:09:22
1994,Cosmas Ndeti,Kenya,2:07:15
1993,Cosmas Ndeti,Kenya,2:09:33
1992,Ibrahim Hussein,Kenya,2:08:14
1991,Ibrahim Hussein,Kenya,2:11:06
1990,Gelindo Bordin,Italy,2:08:19
1989,Abebe Mekonnen,Ethiopia,2:09:06
1988,Ibrahim Hussein,Kenya,2:08:43
1987,Toshihiko Seko,Japan,2:11:50
1986,Robert de Castella,Australia,2:07:51
1985,Geoff Smith,England,2:14:05
1984,Geoff Smith,England,2:10:34
1983,Greg A. Meyer,United States,2:09:00
1982,Alberto Salazar,United States,2:08:52
1981,Toshihiko Seko,Japan,2:09:26
1980,Bill Rodgers,United States,2:12:11
1979,Bill Rodgers,United States,2:09:27
1978,Bill Rodgers,United States,2:10:13
1977,Jerome Drayton,Canada,2:14:46
1976,Jack Fultz,United States,2:20:19
1975,Bill Rodgers,United States,2:09:55
1974,Neil Cusack,Ireland,2:13:39
1973,Jon Anderson,United States,2:16:03
1972,Olavi Suomalainen,Finland,2:15:39
1971,Alvaro Mejia,Colombia,2:18:45
1970,Ron Hill,England,2:10:30
1969,Yoshiaki Unetani,Japan,2:13:49
1968,Amby Burfoot,United States,2:22:17
1967,David C. McKenzie,New Zealand,2:15:45
1966,Kenji Kimihara,Japan,2:17:11
1965,Morio Shigematsu,Japan,2:16:33
1964,Aurele Vandendriessche,Belgium,2:19:59
1963,Aurele Vandendriessche,Belgium,2:18:58
1962,Eino Oksanen,Finland,2:23:48
1961,Eino Oksanen,Finland,2:23:39
1960,Paavo Kotila,Finland,2:20:54
1959,Eino Oksanen,Finland,2:22:42
1958,Franjo Mihalic,Yugoslavia,2:25:54
1957,John J. Kelley,United States,2:20:05
1956,Antti Viskari,Finland,2:14:14
1955,Hideo Hamamura,Japan,2:18:22
1954,Veikko Karvonen,Finland,2:20:39
1953,Keizo Yamada,Japan,2:18:51
1952,Doroteo Flores,Guatemala,2:31:53
1951,Shigeki Tanaka,Japan,2:27:45
1950,Ki-Yong Ham,Korea,2:32:39
1949,Karl Gosta Leandersson,Sweden,2:31:50
1948,Gerard Cote,Canada,2:31:02
1947,Yun Bok Suh,Korea,2:25:39
1946,Stylianos Kyriakides,Greece,2:29:27
1945,John A. Kelley,United States,2:30:40
1944,Gerard Cote,Canada,2:31:50
1943,Gerard Cote,Canada,2:28:25
1942,Bernard Joseph (Joe) Smith,United States,2:26:51
1941,Leslie S. Pawson,United States,2:30:38
1940,Gerard Cote,Canada,2:28:28
1939,Ellison M. Brown,United States,2:28:51
1938,Leslie S. Pawson,United States,2:35:34
1937,Walter Young,Canada,2:33:20
1936,Ellison M. Brown,United States,2:33:40
1935,John A. Kelley,United States,2:32:07
1934,Dave Komonen,Canada,2:32:53
1933,Leslie S. Pawson,United States,2:31:01
1932,Paul de Bruyn,Germany,2:33:36
1931,James P. Henigan,United States,2:46:45
1930,Clarence H. DeMar,United States,2:34:48
1929,John C. Miles,Canada,2:33:08
1928,Clarence H. DeMar,United States,2:37:07
1927,Clarence H. DeMar,United States,2:40:22
1926,John C. Miles,Canada,2:25:40
1925,Charles L. (Chuck) Mellor,United States,2:33:00
1924,Clarence H. DeMar,United States,2:29:40
1923,Clarence H. DeMar,United States,2:23:47
1922,Clarence H. DeMar,United States,2:18:10
1921,Frank T. Zuna,United States,2:18:57
1920,Peter Trivoulidas,Greece,2:29:31
1919,Carl W. A. Linder,United States,2:29:13
1918,Camp Devens Divisional Team,United States,2:24:53
1917,William J. (Bill) Kennedy,United States,2:28:37
1916,Arthur V. Roth,United States,2:27:16
1915,Edouard Fabre,Canada,2:31:41
1914,James Duffy,Canada,2:25:01
1913,Fritz Carlson,United States,2:25:14
1912,Michael J. Ryan,United States,2:21:18
1911,Clarence H. DeMar,United States,2:21:39
1910,Fred L. Cameron,Canada,2:28:52
1909,Henri Renaud,United States,2:53:36
1908,Thomas P. Morrissey,United States,2:25:43
1907,Thomas Longboat,Canada,2:24:24
1906,Timothy Ford,United States,2:45:45
1905,Frederick Lorz,United States,2:38:25
1904,Michael Spring,United States,2:38:04
1903,John C. Lorden,United States,2:41:29
1902,Sammy A. Mellor,United States,2:43:12
1901,John P. Caffery,Canada,2:29:23
1900,John P. Caffery,Canada,2:39:44
1899,Lawrence Brignolia,United States,2:54:38
1898,Ronald J. MacDonald,Canada,2:42:00
1897,John J. McDermott,United States,2:55:10
