year,name,country,time
2022,Peres Jepchirchir,Kenya,2:21:01
2021,Edna Kiplagat,Kenya,2:25:09
2019,Worknesh Degefa,Ethiopia,2:23:31
2018,Desiree Linden,United States,2:39:54
2017,Edna Kiplagat,Kenya,2:21:52
2016,Atsede Baysa,Ethiopia,2:29:19
2015,Caroline Rotich,Kenya,2:24:55
2014,Buzunesh Deba,Ethiopia,2:19:59
2013,Rita Jeptoo,Kenya,2:26:25
2012,Sharon Cherop,Kenya,2:31:50
2011,Caroline Kilel,Kenya,2:22:36
2010,Teyba Erkesso,Ethiopia,2:26:11
2009,Salina Kosgei,Kenya,2:32:16
2008,Dire Tune,Ethiopia,2:25:25
2007,Lidiya Grigoryeva,Russia,2:29:18
2006,Rita Jeptoo,Kenya,2:23:38
2005,Catherine Ndereba,Kenya,2:25:13
2004,Catherine Ndereba,Kenya,2:24:27
2003,Svetlana Zakharova,Russia,2:25:20
2002,Margaret Okayo,Kenya,2:20:43
2001,Catherine Ndereba,Kenya,2:23:53
2000,Catherine Ndereba,Kenya,2:26:11
1999,Fatuma Roba,Ethiopia,2:23:25
1998,Fatuma Roba,Ethiopia,2:23:21
1997,Fatuma Roba,Ethiopia,2:26:23
1996,Uta Pippig,Germany,2:27:12
1995,Uta Pippig,Germany,2:25:11
1994,Uta Pippig,Germany,2:21:45
1993,Olga Markova,Russia,2:25:27
1992,Olga Markova,Comm. Ind. States,2:23:43
1991,Wanda Panfil,Poland,2:24:18
1990,Rosa Mota,Portugal,2:25:24
1989,Ingrid Kristiansen,Norway,2:24:33
1988,Rosa Mota,Portugal,2:24:30
1987,Rosa Mota,Portugal,2:25:21
1986,Ingrid Kristiansen,Norway,2:24:55
1985,Lisa Larsen-Weidenbach,United States,2:34:06
1984,Lorraine Moller,New Zealand,2:29:28
1983,Joan Benoit,United States,2:22:43
1982,Charlotte Teske,Germany,2:29:33
1981,Allison Roe,New Zealand,2:26:46
1980,Jacqueline Gareau,Canada,2:34:28
1979,Joan Benoit,United States,2:35:15
1978,Gayle S. Barron,United States,2:44:52
1977,Michiko (Miki) Gorman,United States,2:48:33
1976,Kim Merritt,United States,2:47:10
1975,Liane Winter,Germany,2:42:24
1974,Michiko (Miki) Gorman,United States,2:47:11
1973,Jacqueline A. Hansen,United States,3:05:59
1972,Nina Kuscsik,United States,3:10:26
1971,Sara Mae Berman,United States,3:08:30
1970,Sara Mae Berman,United States,3:05:07
1969,Sara Mae Berman,United States,3:22:46
1968,Roberta (Bobbi) Gibb,United States,3:30:00
1967,Roberta (Bobbi) Gibb,United States,3:27:17
1966,Roberta (Bobbi) Gibb,United States,3:21:40
