Reporting Area,MMWR Year,MMWR Week,"Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Current week","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Current week, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Previous 52 weeks Max†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Previous 52 weeks Max†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2022†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2022†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2021†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2021†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Current week","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Current week, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Previous 52 weeks Max†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Previous 52 weeks Max†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2022†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2022†, flag","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2021†","Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2021†, flag",Location 1,Location 2,Reporting Area Sort,geocode
TOTAL,2022,1,2,,82,,2,,5,,3,,47,,3,,6,,,TOTAL,202200170,
US TERRITORIES,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,202200163,
SOUTH DAKOTA,2022,1,,-,1,,,-,,-,,-,1,,,-,,-,SOUTH DAKOTA,,202200127,POINT (-100.230491 44.43614)
GEORGIA,2022,1,,-,2,,,-,,-,,-,1,,,-,,-,GEORGIA,,202200132,POINT (-83.426574 32.638481)
WYOMING,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,WYOMING,,202200156,POINT (-107.55145 42.999627)
WEST VIRGINIA,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,202200137,POINT (-80.613729 38.642579)
NEW JERSEY,2022,2,,-,2,,,-,,-,,-,3,,,-,,-,NEW JERSEY,,202200210,POINT (-74.655514 40.110253)
CALIFORNIA,2022,1,,-,17,,,-,,-,,-,8,,,-,,-,CALIFORNIA,,202200159,POINT (-119.662127 37.211164)
OKLAHOMA,2022,2,,-,1,,,-,,-,,-,1,,,-,,-,OKLAHOMA,,202200246,POINT (-97.508297 35.583449)
VERMONT,2022,2,,-,0,,,-,,-,,-,2,,,-,,-,VERMONT,,202200208,POINT (-72.662695 44.075252)
MASSACHUSETTS,2022,2,,-,6,,,-,1,,,-,3,,1,,,-,MASSACHUSETTS,,202200205,POINT (-71.481104 42.151077)
NEW MEXICO,2022,2,,-,1,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,202200254,POINT (-106.108388 34.421369)
MASSACHUSETTS,2022,1,,-,6,,,-,1,,1,,3,,1,,,-,MASSACHUSETTS,,202200105,POINT (-71.481104 42.151077)
UTAH,2022,2,,-,4,,,-,1,,,-,3,,,-,,-,UTAH,,202200255,POINT (-111.678222 39.323779)
NEW YORK CITY,2022,1,,-,2,,,-,,-,,-,3,,,-,1,,NEW YORK CITY,,202200112,
PACIFIC,2022,2,,-,45,,,-,2,,,-,26,,1,,2,,,PACIFIC,202200257,
WEST NORTH CENTRAL,2022,1,,-,3,,,-,,-,1,,6,,1,,,-,,WEST NORTH CENTRAL,202200120,
MIDDLE ATLANTIC,2022,1,1,,11,,1,,,-,,-,9,,,-,1,,,MIDDLE ATLANTIC,202200109,
ARKANSAS,2022,1,,-,1,,,-,,-,,-,1,,,-,,-,ARKANSAS,,202200144,POINT (-92.439162 34.899825)
MOUNTAIN,2022,1,,-,8,,,-,,-,,-,6,,,-,1,,,MOUNTAIN,202200148,
MONTANA,2022,1,,-,1,,,-,,-,,-,1,,,-,,-,MONTANA,,202200152,POINT (-109.645127 47.033521)
U.S. VIRGIN ISLANDS,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,U.S. VIRGIN ISLANDS,,202200168,
INDIANA,2022,1,,-,1,,,-,,-,,-,2,,,-,,-,INDIANA,,202200116,POINT (-86.2818 39.919991)
MISSISSIPPI,2022,1,,-,1,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,202200141,POINT (-89.65344 32.713378)
MISSOURI,2022,1,,-,1,,,-,,-,,-,3,,,-,,-,MISSOURI,,202200124,POINT (-92.477244 38.3675)
MICHIGAN,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,202200117,POINT (-85.730977 44.874798)
AMERICAN SAMOA,2022,1,,N,,NC,,N,,N,,N,,NC,,N,,N,AMERICAN SAMOA,,202200164,
WASHINGTON,2022,1,,-,28,,,-,,-,1,,13,,1,,2,,WASHINGTON,,202200162,POINT (-120.592492 47.411715)
NON-US RESIDENTS,2022,1,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,202200169,
